Signup Date,Customer ID,Plan Tier,Country,MRR,LTV,Status,Churn Reason
2025-12-02,CUST-1338,Basic,Canada,1200,34816.6,Active,Missing Feature
2025-12-02,CUST-1076,Custom,India,1200,7334.3,Active,None
2025-12-03,CUST-1316,Professional,Germany,1200,29125.44,Paused,None
2025-12-03,CUST-1307,Basic,United Kingdom,499,28522.91,Active,Price
2025-12-04,CUST-1398,Enterprise,India,499,3146.94,Paused,Support
2025-12-05,CUST-1322,Basic,United Kingdom,2500,16501.59,Active,Price
2025-12-05,CUST-1333,Basic,India,1200,4624.89,Paused,Competitor
2025-12-05,CUST-1335,Basic,United States,499,9357.65,Cancelled,Support
2025-12-06,CUST-1303,Professional,Australia,49,31356.95,Paused,Price
2025-12-08,CUST-1234,Professional,India,1200,24697.72,Paused,Price
2025-12-08,CUST-1091,Basic,United Kingdom,1200,2307.5,Active,Competitor
2025-12-09,CUST-1154,Custom,United Kingdom,199,6409.68,Paused,Support
2025-12-09,CUST-1240,Basic,Australia,1200,4860.33,Active,Missing Feature
2025-12-12,CUST-1137,Custom,Germany,199,11953.94,Paused,None
2025-12-15,CUST-1143,Enterprise,Canada,499,24436.29,Active,Price
2025-12-15,CUST-1112,Custom,Germany,49,9051.63,Active,Competitor
2025-12-17,CUST-1214,Basic,Canada,499,33751.9,Paused,Price
2025-12-17,CUST-1044,Basic,Australia,199,33039.53,Paused,Competitor
2025-12-18,CUST-1082,Professional,India,49,27282.02,Paused,Price
2025-12-18,CUST-1320,Enterprise,Germany,2500,2770.51,Paused,Missing Feature
2025-12-20,CUST-1162,Enterprise,Australia,499,12137.23,Active,Support
2025-12-20,CUST-1071,Professional,Australia,2500,34917.99,Active,Competitor
2025-12-21,CUST-1050,Professional,Canada,199,9107.86,Active,Support
2025-12-23,CUST-1224,Custom,Australia,49,1134.32,Active,None
2025-12-23,CUST-1059,Basic,United States,499,24535.98,Active,Price
2025-12-23,CUST-1277,Basic,Germany,1200,32387.9,Active,None
2025-12-23,CUST-1245,Enterprise,Germany,1200,17153.61,Cancelled,Support
2025-12-24,CUST-1064,Enterprise,United States,49,28804.73,Active,Support
2025-12-25,CUST-1135,Enterprise,Canada,2500,10412.77,Paused,Competitor
2025-12-26,CUST-1105,Enterprise,India,2500,14990.14,Active,Price
2025-12-27,CUST-1011,Professional,United Kingdom,199,26375.98,Paused,None
2025-12-28,CUST-1184,Custom,United Kingdom,49,26777.82,Active,Budget Cut
2025-12-28,CUST-1080,Basic,United Kingdom,1200,17642.9,Cancelled,None
2025-12-30,CUST-1113,Basic,United Kingdom,499,24571.21,Active,Competitor
2025-12-31,CUST-1152,Custom,United Kingdom,49,14566.19,Cancelled,Competitor
2025-12-31,CUST-1212,Professional,Australia,499,10430.18,Active,Support
