Created Date,Ticket ID,Category,Priority,Resolution Time Hours,CSAT Score,Escalated
2025-10-23,TCK-8426,Performance Lag,P3 Medium,22.7,5,No
2025-10-23,TCK-8381,Account Lock,P2 High,45.9,4,No
2025-10-24,TCK-8475,Performance Lag,P4 Low,20.7,4,No
2025-10-24,TCK-8389,Performance Lag,P1 Critical,30.8,4,No
2025-10-24,TCK-8343,Account Lock,P4 Low,58.6,5,No
2025-10-25,TCK-8482,Performance Lag,P3 Medium,50.1,5,No
2025-10-25,TCK-8383,Integration Error,P2 High,8.7,5,No
2025-10-25,TCK-8399,Integration Error,P3 Medium,20.8,4,No
2025-10-25,TCK-8365,Performance Lag,P1 Critical,28.7,5,No
2025-10-26,TCK-8498,Billing Bug,P2 High,50.7,5,No
2025-10-27,TCK-8211,Account Lock,P3 Medium,38.9,4,No
2025-10-27,TCK-8264,Account Lock,P2 High,32.8,5,No
2025-10-27,TCK-8497,Account Lock,P3 Medium,41.0,4,Yes
2025-10-28,TCK-8288,Feature Request,P3 Medium,47.7,5,No
2025-10-29,TCK-8364,Performance Lag,P4 Low,57.9,3,No
2025-10-30,TCK-8202,Billing Bug,P2 High,42.7,4,No
2025-10-30,TCK-8200,Performance Lag,P2 High,9.5,5,No
2025-11-01,TCK-8140,Billing Bug,P4 Low,8.0,4,No
2025-11-02,TCK-8231,Feature Request,P4 Low,36.0,1,No
2025-11-02,TCK-8204,Billing Bug,P2 High,6.1,5,Yes
2025-11-02,TCK-8044,Account Lock,P2 High,35.7,5,No
2025-11-07,TCK-8232,Integration Error,P2 High,50.9,5,No
2025-11-07,TCK-8115,Integration Error,P1 Critical,43.7,5,No
2025-11-08,TCK-8485,Performance Lag,P2 High,68.0,5,No
2025-11-08,TCK-8241,Account Lock,P2 High,51.3,5,No
2025-11-08,TCK-8334,Performance Lag,P3 Medium,18.6,5,No
2025-11-08,TCK-8078,Performance Lag,P4 Low,20.8,5,No
2025-11-09,TCK-8122,Performance Lag,P2 High,66.3,5,No
2025-11-10,TCK-8463,Feature Request,P2 High,16.5,5,No
2025-11-11,TCK-8179,Performance Lag,P3 Medium,33.6,1,No
2025-11-12,TCK-8260,Account Lock,P3 Medium,37.6,4,No
2025-11-13,TCK-8110,Integration Error,P3 Medium,24.8,5,No
2025-11-14,TCK-8281,Feature Request,P3 Medium,32.7,4,No
2025-11-14,TCK-8392,Account Lock,P3 Medium,19.8,5,No
2025-11-14,TCK-8295,Performance Lag,P3 Medium,57.5,3,No
2025-11-15,TCK-8370,Account Lock,P3 Medium,69.6,5,No
2025-11-16,TCK-8420,Integration Error,P4 Low,13.7,4,No
2025-11-18,TCK-8153,Account Lock,P2 High,63.3,5,No
2025-11-18,TCK-8318,Feature Request,P4 Low,70.3,2,No
2025-11-23,TCK-8307,Feature Request,P3 Medium,26.1,5,No
2025-11-23,TCK-8207,Feature Request,P3 Medium,44.6,5,No
2025-11-23,TCK-8425,Performance Lag,P3 Medium,35.1,4,No
2025-11-23,TCK-8459,Integration Error,P3 Medium,58.8,5,No
2025-11-25,TCK-8217,Account Lock,P2 High,69.4,4,No
2025-11-25,TCK-8170,Feature Request,P3 Medium,14.1,5,No
2025-11-25,TCK-8185,Integration Error,P1 Critical,31.7,4,No
2025-11-25,TCK-8040,Integration Error,P3 Medium,41.0,5,No
2025-11-27,TCK-8476,Performance Lag,P3 Medium,8.2,3,No
2025-11-28,TCK-8453,Performance Lag,P2 High,17.8,5,No
2025-11-29,TCK-8003,Account Lock,P2 High,6.2,5,No
2025-11-30,TCK-8045,Account Lock,P3 Medium,22.1,4,No
2025-12-02,TCK-8291,Performance Lag,P1 Critical,54.9,2,No
2025-12-04,TCK-8134,Integration Error,P3 Medium,6.6,5,No
2025-12-05,TCK-8479,Feature Request,P4 Low,31.2,5,Yes
2025-12-05,TCK-8010,Performance Lag,P2 High,48.3,5,No
2025-12-05,TCK-8371,Feature Request,P3 Medium,45.0,5,No
2025-12-05,TCK-8174,Feature Request,P4 Low,35.9,4,No
2025-12-06,TCK-8304,Account Lock,P3 Medium,35.1,3,No
2025-12-06,TCK-8300,Feature Request,P4 Low,40.1,4,Yes
2025-12-06,TCK-8038,Performance Lag,P4 Low,66.8,4,No
2025-12-06,TCK-8191,Feature Request,P3 Medium,25.6,5,No
2025-12-07,TCK-8189,Feature Request,P3 Medium,68.1,5,No
2025-12-08,TCK-8472,Billing Bug,P1 Critical,32.4,4,No
2025-12-08,TCK-8036,Feature Request,P3 Medium,32.0,5,No
2025-12-09,TCK-8131,Integration Error,P4 Low,51.9,4,No
2025-12-09,TCK-8333,Integration Error,P2 High,23.1,4,No
2025-12-11,TCK-8280,Performance Lag,P3 Medium,26.8,3,No
2025-12-12,TCK-8363,Account Lock,P4 Low,17.6,5,No
2025-12-12,TCK-8346,Performance Lag,P2 High,62.5,5,No
2025-12-13,TCK-8120,Account Lock,P2 High,9.6,1,No
2025-12-13,TCK-8176,Feature Request,P1 Critical,58.8,5,No
2025-12-14,TCK-8380,Account Lock,P3 Medium,51.8,4,No
2025-12-14,TCK-8076,Integration Error,P3 Medium,37.7,5,Yes
2025-12-14,TCK-8097,Integration Error,P3 Medium,5.6,5,No
2025-12-15,TCK-8327,Account Lock,P3 Medium,23.9,5,No
2025-12-15,TCK-8315,Feature Request,P2 High,21.1,5,No
2025-12-16,TCK-8337,Account Lock,P3 Medium,58.0,4,No
2025-12-17,TCK-8474,Performance Lag,P2 High,60.1,4,No
2025-12-18,TCK-8375,Performance Lag,P3 Medium,58.4,1,Yes
2025-12-18,TCK-8216,Integration Error,P3 Medium,5.1,3,No
2025-12-19,TCK-8143,Performance Lag,P4 Low,24.0,4,No
2025-12-19,TCK-8085,Feature Request,P3 Medium,27.3,3,No
2025-12-20,TCK-8403,Account Lock,P2 High,4.8,3,No
2025-12-20,TCK-8234,Account Lock,P2 High,12.2,4,No
2025-12-21,TCK-8157,Account Lock,P3 Medium,17.3,4,No
2025-12-21,TCK-8317,Performance Lag,P3 Medium,38.7,5,No
2025-12-21,TCK-8372,Performance Lag,P3 Medium,0.9,5,No
2025-12-23,TCK-8411,Integration Error,P4 Low,20.0,5,Yes
2025-12-23,TCK-8298,Feature Request,P1 Critical,39.1,5,No
2025-12-23,TCK-8422,Integration Error,P4 Low,51.5,5,No
2025-12-23,TCK-8066,Performance Lag,P3 Medium,33.3,5,No
2025-12-23,TCK-8419,Billing Bug,P3 Medium,69.1,3,No
2025-12-24,TCK-8135,Feature Request,P3 Medium,62.1,5,No
2025-12-24,TCK-8144,Billing Bug,P2 High,59.1,5,No
2025-12-25,TCK-8011,Integration Error,P2 High,42.9,4,No
2025-12-26,TCK-8175,Integration Error,P4 Low,10.1,4,No
2025-12-26,TCK-8443,Account Lock,P2 High,28.2,4,No
2025-12-27,TCK-8278,Feature Request,P3 Medium,18.5,5,No
2025-12-28,TCK-8173,Account Lock,P1 Critical,65.9,5,No
2025-12-29,TCK-8460,Performance Lag,P2 High,66.0,3,No
2025-12-31,TCK-8194,Performance Lag,P2 High,29.8,5,No
2025-12-31,TCK-8268,Integration Error,P3 Medium,22.2,5,No
