Snapshot Date,Store Location,Category,Item Stock On Hand,Reorder Threshold,Unit Wholesale Price,Stockout Flag
2025-11-16,Store #103 London,Beauty,285,150,419.57,Low Stock
2025-11-16,Store #103 London,Apparel,259,20,57.44,In Stock
2025-11-17,Store #101 NYC,Sports Goods,478,20,416.36,In Stock
2025-11-19,Store #105 Berlin,Sports Goods,369,150,324.13,In Stock
2025-11-19,Store #102 LA,Beauty,439,50,427.28,In Stock
2025-11-20,Store #105 Berlin,Electronics,162,100,355.91,In Stock
2025-11-23,Store #104 Tokyo,Apparel,74,50,352.8,Low Stock
2025-11-23,Store #101 NYC,Beauty,449,20,43.69,Low Stock
2025-11-24,Store #101 NYC,Electronics,295,50,43.11,In Stock
2025-11-26,Store #105 Berlin,Beauty,431,20,329.92,In Stock
2025-11-26,Store #104 Tokyo,Sports Goods,65,150,262.87,Out of Stock
2025-11-29,Store #103 London,Home & Kitchen,459,50,73.99,Low Stock
2025-11-29,Store #101 NYC,Home & Kitchen,102,150,18.42,Low Stock
2025-12-03,Store #102 LA,Beauty,139,150,265.76,In Stock
2025-12-04,Store #104 Tokyo,Sports Goods,78,50,293.78,In Stock
2025-12-05,Store #102 LA,Electronics,301,100,168.33,In Stock
2025-12-05,Store #104 Tokyo,Electronics,395,50,277.5,Low Stock
2025-12-06,Store #102 LA,Beauty,363,100,205.51,Low Stock
2025-12-06,Store #103 London,Beauty,193,100,415.63,In Stock
2025-12-06,Store #102 LA,Apparel,116,100,13.14,In Stock
2025-12-06,Store #101 NYC,Electronics,487,50,111.2,In Stock
2025-12-07,Store #103 London,Beauty,480,50,216.0,In Stock
2025-12-11,Store #101 NYC,Home & Kitchen,404,50,289.0,In Stock
2025-12-12,Store #105 Berlin,Beauty,7,100,150.14,In Stock
2025-12-12,Store #104 Tokyo,Sports Goods,144,50,94.12,In Stock
2025-12-13,Store #105 Berlin,Apparel,277,100,224.95,In Stock
2025-12-13,Store #101 NYC,Sports Goods,243,100,421.13,In Stock
2025-12-13,Store #103 London,Beauty,404,50,65.71,In Stock
2025-12-14,Store #102 LA,Home & Kitchen,230,50,132.64,Out of Stock
2025-12-15,Store #105 Berlin,Electronics,181,50,163.6,In Stock
2025-12-15,Store #105 Berlin,Apparel,270,150,172.32,Out of Stock
2025-12-15,Store #103 London,Apparel,256,20,342.25,In Stock
2025-12-16,Store #104 Tokyo,Apparel,472,50,432.48,In Stock
2025-12-17,Store #102 LA,Sports Goods,34,100,172.69,In Stock
2025-12-18,Store #102 LA,Electronics,445,100,291.92,In Stock
2025-12-18,Store #104 Tokyo,Home & Kitchen,278,50,353.6,In Stock
2025-12-20,Store #102 LA,Apparel,462,150,259.87,In Stock
2025-12-21,Store #105 Berlin,Sports Goods,51,20,115.04,In Stock
2025-12-21,Store #105 Berlin,Home & Kitchen,308,50,155.33,In Stock
2025-12-22,Store #102 LA,Sports Goods,400,20,182.3,In Stock
2025-12-22,Store #104 Tokyo,Electronics,137,50,188.72,In Stock
2025-12-22,Store #104 Tokyo,Home & Kitchen,356,100,132.7,In Stock
2025-12-23,Store #103 London,Beauty,65,150,221.17,In Stock
2025-12-23,Store #102 LA,Home & Kitchen,295,100,245.29,In Stock
2025-12-24,Store #103 London,Sports Goods,156,150,439.35,In Stock
2025-12-24,Store #105 Berlin,Home & Kitchen,404,50,276.72,In Stock
2025-12-25,Store #105 Berlin,Sports Goods,7,20,428.3,In Stock
2025-12-25,Store #101 NYC,Apparel,169,100,313.77,In Stock
2025-12-25,Store #105 Berlin,Electronics,320,100,128.21,In Stock
2025-12-26,Store #102 LA,Apparel,93,150,16.82,In Stock
2025-12-26,Store #105 Berlin,Home & Kitchen,380,20,213.22,In Stock
2025-12-27,Store #102 LA,Sports Goods,173,100,342.85,Low Stock
2025-12-28,Store #104 Tokyo,Home & Kitchen,417,100,345.9,In Stock
2025-12-28,Store #103 London,Apparel,286,150,53.5,In Stock
2025-12-29,Store #101 NYC,Home & Kitchen,394,100,260.58,Low Stock
2025-12-30,Store #103 London,Sports Goods,491,20,16.16,In Stock
2025-12-31,Store #101 NYC,Electronics,116,150,315.24,In Stock
2025-12-31,Store #103 London,Home & Kitchen,189,50,145.12,Low Stock
2025-12-31,Store #102 LA,Home & Kitchen,268,20,37.73,In Stock
