Campaign Date,Platform,Campaign Name,Ad Spend,Impressions,Clicks,Conversions,ROI Ratio
2025-12-07,Meta Ads,Brand Awareness,6598.57,336793,13763,421,4.83
2025-12-08,TikTok Ads,Black Friday Promo,8161.89,280185,4911,528,4.47
2025-12-09,YouTube Ads,Black Friday Promo,2459.06,274952,8068,275,5.9
2025-12-09,Google Ads,Enterprise Webinar,2003.14,188501,11778,554,2.07
2025-12-09,LinkedIn Ads,Q1 Product Launch,10702.43,211926,5969,47,7.47
2025-12-12,TikTok Ads,Retargeting Fall,2415.01,375039,3564,506,5.67
2025-12-13,Meta Ads,Brand Awareness,5866.79,290398,4209,32,3.15
2025-12-15,Meta Ads,Q1 Product Launch,11664.17,178376,7331,177,4.52
2025-12-15,Meta Ads,Black Friday Promo,6873.03,119955,15381,640,5.37
2025-12-17,TikTok Ads,Brand Awareness,9968.4,235760,5654,369,5.94
2025-12-18,Meta Ads,Black Friday Promo,10082.52,333417,1999,824,2.62
2025-12-22,YouTube Ads,Enterprise Webinar,4163.52,379531,4109,474,5.44
2025-12-22,Meta Ads,Enterprise Webinar,1025.06,26944,17961,291,3.11
2025-12-23,YouTube Ads,Brand Awareness,6405.45,273116,385,64,5.1
2025-12-24,TikTok Ads,Q1 Product Launch,6691.47,365843,13632,805,7.75
2025-12-24,LinkedIn Ads,Q1 Product Launch,2282.76,385982,410,358,5.08
2025-12-26,Meta Ads,Q1 Product Launch,11854.87,225101,17153,791,1.64
2025-12-27,Meta Ads,Enterprise Webinar,7068.14,379517,6174,162,2.84
2025-12-27,Meta Ads,Enterprise Webinar,7442.92,91014,16858,474,4.67
2025-12-28,Google Ads,Retargeting Fall,11229.62,388358,9497,706,3.87
2025-12-29,Meta Ads,Q1 Product Launch,9348.69,404484,7327,462,2.48
2025-12-29,LinkedIn Ads,Q1 Product Launch,6009.1,167781,8823,474,5.16
2025-12-30,YouTube Ads,Enterprise Webinar,9301.74,58263,5175,787,5.61
2025-12-31,TikTok Ads,Brand Awareness,7564.23,265152,3367,682,4.05
2025-12-31,TikTok Ads,Brand Awareness,8016.04,363807,14824,170,7.62
