Shipment Date,Warehouse Origin,Carrier,Destination Country,Shipping Cost,Delay Days,Customs Cleared
2025-10-24,Singapore Terminal,DB Schenker,Germany,1388.45,3,Yes
2025-10-25,Shenzhen Logistics,DHL,France,677.01,2,Yes
2025-10-26,Rotterdam Port,DHL,UK,291.27,2,Yes
2025-10-27,Singapore Terminal,DHL,Brazil,1727.2,0,Yes
2025-10-27,Singapore Terminal,Maersk,UK,612.88,5,Yes
2025-10-27,Singapore Terminal,FedEx,UK,504.77,8,Yes
2025-10-27,Dallas FC,FedEx,USA,1672.35,2,Yes
2025-10-28,Chicago Hub,Maersk,Japan,1782.64,8,Yes
2025-10-29,Rotterdam Port,DHL,Japan,552.04,3,Yes
2025-10-29,Shenzhen Logistics,UPS,UK,1415.61,2,Yes
2025-10-30,Singapore Terminal,Maersk,France,280.59,8,Yes
2025-10-31,Shenzhen Logistics,FedEx,Brazil,114.13,0,Yes
2025-11-02,Shenzhen Logistics,Maersk,USA,1607.5,0,Yes
2025-11-02,Rotterdam Port,UPS,Brazil,1523.08,0,Yes
2025-11-02,Chicago Hub,DHL,France,408.43,2,Yes
2025-11-03,Rotterdam Port,Maersk,USA,72.05,0,Yes
2025-11-04,Dallas FC,Maersk,Japan,662.46,3,Yes
2025-11-04,Dallas FC,FedEx,USA,893.29,12,Yes
2025-11-04,Shenzhen Logistics,Maersk,Japan,1100.4,3,Yes
2025-11-06,Shenzhen Logistics,DB Schenker,Germany,858.46,2,Yes
2025-11-07,Singapore Terminal,Maersk,Germany,526.18,12,Yes
2025-11-07,Rotterdam Port,UPS,France,623.64,0,Yes
2025-11-07,Rotterdam Port,FedEx,UK,1360.42,0,Yes
2025-11-08,Rotterdam Port,FedEx,USA,1666.68,8,Yes
2025-11-08,Dallas FC,DB Schenker,UK,375.55,5,Yes
2025-11-08,Shenzhen Logistics,DHL,Japan,175.45,1,Yes
2025-11-08,Singapore Terminal,FedEx,France,321.74,5,Yes
2025-11-08,Shenzhen Logistics,DHL,Brazil,450.71,2,Yes
2025-11-10,Rotterdam Port,FedEx,UK,1463.85,8,Yes
2025-11-11,Rotterdam Port,DHL,USA,834.19,1,Yes
2025-11-12,Chicago Hub,UPS,Germany,1050.84,8,Yes
2025-11-12,Shenzhen Logistics,FedEx,UK,1767.93,2,Yes
2025-11-12,Rotterdam Port,DB Schenker,Germany,1490.16,8,Yes
2025-11-14,Shenzhen Logistics,FedEx,UK,295.59,8,Yes
2025-11-14,Rotterdam Port,DHL,Japan,939.83,1,Yes
2025-11-14,Rotterdam Port,Maersk,Germany,420.43,1,Yes
2025-11-15,Dallas FC,Maersk,Brazil,766.7,0,Yes
2025-11-16,Dallas FC,DHL,UK,1183.11,12,Yes
2025-11-17,Rotterdam Port,DHL,Germany,420.5,2,Yes
2025-11-17,Chicago Hub,DHL,USA,532.75,0,Yes
2025-11-19,Dallas FC,UPS,Germany,487.43,0,Yes
2025-11-20,Rotterdam Port,Maersk,Japan,1704.96,5,Yes
2025-11-21,Shenzhen Logistics,DB Schenker,Germany,121.45,5,Yes
2025-11-21,Singapore Terminal,FedEx,USA,1458.98,0,Yes
2025-11-22,Rotterdam Port,DB Schenker,UK,539.13,0,Yes
2025-11-24,Singapore Terminal,DHL,UK,522.51,5,Yes
2025-11-24,Singapore Terminal,UPS,UK,657.49,8,Yes
2025-11-25,Chicago Hub,UPS,UK,516.74,0,Yes
2025-11-28,Singapore Terminal,FedEx,USA,67.21,0,Yes
2025-11-28,Chicago Hub,Maersk,Germany,454.61,0,Yes
2025-11-29,Rotterdam Port,FedEx,France,1089.17,3,Yes
2025-11-29,Shenzhen Logistics,UPS,Germany,837.09,0,Yes
2025-11-30,Dallas FC,Maersk,UK,1143.05,5,Yes
2025-11-30,Shenzhen Logistics,DHL,USA,1221.31,1,Yes
2025-12-02,Chicago Hub,FedEx,France,1031.81,8,Yes
2025-12-04,Singapore Terminal,UPS,UK,940.51,8,Yes
2025-12-05,Rotterdam Port,DHL,Germany,137.97,12,Yes
2025-12-05,Dallas FC,UPS,Japan,308.52,3,Yes
2025-12-05,Chicago Hub,UPS,Germany,1373.53,2,Yes
2025-12-06,Chicago Hub,FedEx,Japan,1774.79,0,Yes
2025-12-07,Rotterdam Port,FedEx,Japan,376.72,3,Yes
2025-12-08,Rotterdam Port,Maersk,UK,732.42,12,Yes
2025-12-08,Chicago Hub,DB Schenker,USA,1411.36,5,Yes
2025-12-08,Dallas FC,DHL,USA,1747.48,8,Yes
2025-12-08,Singapore Terminal,FedEx,USA,1122.65,0,Yes
2025-12-11,Rotterdam Port,UPS,UK,71.17,3,Yes
2025-12-11,Dallas FC,Maersk,USA,869.5,2,Yes
2025-12-11,Singapore Terminal,UPS,France,1078.33,12,Yes
2025-12-11,Chicago Hub,Maersk,France,1075.83,2,Yes
2025-12-12,Shenzhen Logistics,FedEx,UK,1159.47,12,Yes
2025-12-13,Singapore Terminal,UPS,France,655.16,1,Yes
2025-12-13,Singapore Terminal,UPS,UK,795.18,1,Yes
2025-12-13,Chicago Hub,Maersk,UK,1408.34,5,Yes
2025-12-14,Shenzhen Logistics,UPS,France,1588.38,2,Yes
2025-12-14,Shenzhen Logistics,DHL,France,1060.62,5,Yes
2025-12-15,Dallas FC,FedEx,Germany,875.28,0,Yes
2025-12-16,Dallas FC,FedEx,France,1626.02,1,Yes
2025-12-17,Chicago Hub,DHL,USA,1780.83,0,Yes
2025-12-17,Dallas FC,FedEx,France,1560.34,3,Yes
2025-12-18,Shenzhen Logistics,DHL,USA,1678.14,0,Yes
2025-12-18,Dallas FC,DHL,Germany,1212.79,3,Yes
2025-12-18,Singapore Terminal,FedEx,Japan,1542.21,8,Yes
2025-12-18,Shenzhen Logistics,DHL,France,646.26,3,Yes
2025-12-19,Shenzhen Logistics,FedEx,Germany,1593.61,3,Yes
2025-12-20,Rotterdam Port,FedEx,France,1746.21,1,Yes
2025-12-20,Dallas FC,DB Schenker,Japan,514.19,1,Yes
2025-12-21,Rotterdam Port,DB Schenker,USA,1444.16,8,No
2025-12-22,Rotterdam Port,DHL,France,875.18,1,Yes
2025-12-22,Singapore Terminal,Maersk,Brazil,262.41,12,Yes
2025-12-23,Dallas FC,Maersk,Japan,793.6,1,Yes
2025-12-23,Dallas FC,UPS,Japan,164.96,5,No
2025-12-24,Dallas FC,FedEx,France,790.64,12,Yes
2025-12-25,Shenzhen Logistics,Maersk,Germany,412.53,8,Yes
2025-12-25,Dallas FC,Maersk,UK,643.81,1,Yes
2025-12-25,Singapore Terminal,FedEx,Germany,558.24,0,Yes
2025-12-26,Dallas FC,UPS,Brazil,199.99,1,Yes
2025-12-26,Dallas FC,DHL,Japan,299.99,0,Yes
2025-12-27,Rotterdam Port,FedEx,UK,1404.82,1,Yes
2025-12-28,Dallas FC,Maersk,France,1723.77,2,No
2025-12-28,Chicago Hub,Maersk,Germany,766.38,0,Yes
